id_transaccion,id_cliente,numero_cuenta,nombre_cliente,apellido_cliente,edad,genero,lugar_registro,ingreso_mensual_cliente,ahorro_actual_cliente,fecha_hora,id_categoria,categoria_slug,categoria_nombre,macro_categoria,concepto,comercio,monto,monto_signo,tipo_movimiento,medio_operacion,moneda,buro_credito_score
61864c43-4995-4c75-9419-56b0452b2dcd,CLI-10025,MX-ACC-132097,Manuel,Flores Sanchez,53,M,Monterrey,41019.0,23289.91,2026-01-01 02:08:00,1,nomina_ingresos,Nomina / Ingresos,Ingreso,Nomina,Nomina,20509.5,20509.5,INGRESO,TRANSFERENCIA,MXN,799
d9ec4024-a541-49cf-960f-80f18d91b33d,CLI-10013,MX-ACC-613153,Javier,Rodriguez Gomez,34,M,Queretaro,15206.22,11029.05,2026-01-01 02:44:00,6,bus,Bus,Transporte,Bus,Bus,6.0,-6.0,EGRESO,TRANSFERENCIA,MXN,742
95efb8ba-b083-4e9a-b9cc-9def8fb1ba28,CLI-10000,MX-ACC-164820,Luis,Gomez Martinez,56,M,Monterrey,20805.77,0.0,2026-01-01 04:46:00,2,supermercado,Supermercado,Alimentacion,Costco,Costco,758.0,-758.0,EGRESO,EFECTIVO,MXN,487
39b30404-a1d3-49d5-ab4a-d5d96605d154,CLI-10098,MX-ACC-841040,Alejandro,Martinez Ramirez,33,M,Guadalajara,50378.28,27819.55,2026-01-01 05:06:00,17,streaming,Streaming,Ocio,Amazon Prime,Amazon Prime,99.0,-99.0,EGRESO,POS,MXN,808
11266314-40ef-4263-80e6-5183c800f13f,CLI-10061,MX-ACC-216421,Sofia,Flores Ramirez,54,F,Merida,18022.3,16724.07,2026-01-01 07:40:00,3,comida_rapida,Comida Rapida,Alimentacion,Burger King,Burger King,450.0,-450.0,EGRESO,POS,MXN,839
304abf7c-42b2-47c8-abc6-6ae2c158a252,CLI-10062,MX-ACC-746465,Luis,Gomez Sanchez,26,M,Puebla,10672.71,1163.0,2026-01-01 10:04:00,9,taxi,Taxi,Transporte,Cabify,Cabify,150.0,-150.0,EGRESO,APP_MOVIL,MXN,628
2a7fd383-9ae2-4684-916b-eff790b0030b,CLI-10094,MX-ACC-666074,Camila,Rodriguez Sanchez,43,F,Tijuana,25784.06,2121.64,2026-01-01 10:05:00,30,electricidad,Electricidad,Servicios,Electricidad,Electricidad,719.0,-719.0,EGRESO,TRANSFERENCIA,MXN,516
9000bf2c-bedd-4b5b-92a1-ee080b375bcd,CLI-10097,MX-ACC-664262,Carlos,Flores Gonzalez,47,M,Puebla,9004.75,0.0,2026-01-01 10:49:00,34,herramientas,Herramientas,Otros,Herramientas,Herramientas,437.0,-437.0,EGRESO,EFECTIVO,MXN,673
bc6704a6-60e0-4252-a0bc-987d99491fdf,CLI-10028,MX-ACC-200235,Gabriela,Hernandez Rodriguez,36,F,Queretaro,20559.67,0.0,2026-01-01 11:04:00,33,telefonia_movil,Telefonia Movil,Servicios,Movistar,Movistar,150.0,-150.0,EGRESO,APP_MOVIL,MXN,628
d378f8a4-57d6-4e78-aad3-24c48dff21d8,CLI-10035,MX-ACC-214352,Fernanda,Gonzalez Gomez,53,F,Guadalajara,19823.84,15792.2,2026-01-01 11:41:00,35,otros,Otros,Otros,Compras Fisicas,Compras Fisicas,755.0,-755.0,EGRESO,TRANSFERENCIA,MXN,756
e6230d30-2fbb-457b-b6fb-095e116762c0,CLI-10077,MX-ACC-258768,Daniela,Ramirez Sanchez,69,F,Tijuana,19857.52,9600.62,2026-01-01 11:50:00,7,metro,Metro,Transporte,Metro,Metro,5.0,-5.0,EGRESO,TRANSFERENCIA,MXN,462
d4c7c7e8-68d7-4e77-8e9d-bacacc66d28f,CLI-10010,MX-ACC-642335,Carlos,Perez Gonzalez,59,M,Cancun,42017.74,38427.36,2026-01-01 13:29:00,26,barberia,Barberia,Ocio,Barberia,Barberia,430.0,-430.0,EGRESO,APP_MOVIL,MXN,427
ed160a90-96b7-44c2-a7b8-c908241e5722,CLI-10068,MX-ACC-318134,Lucia,Ramirez Flores,42,F,CDMX,31975.94,715.0,2026-01-01 14:03:00,23,zapatos_tacon,Zapatos de Tacon,Ocio,Andrea,Andrea,1650.0,-1650.0,EGRESO,EFECTIVO,MXN,413
d32a1384-20c2-4bd9-beb5-ea2a4b0e7310,CLI-10048,MX-ACC-374907,Javier,Flores Ramirez,39,M,CDMX,44341.05,204.0,2026-01-01 16:47:00,34,herramientas,Herramientas,Otros,Herramientas,Herramientas,2484.0,-2484.0,EGRESO,APP_MOVIL,MXN,498
9e259974-a4fa-419f-8f7d-e7e0ca9f178c,CLI-10023,MX-ACC-118070,Camila,Rodriguez Hernandez,35,F,Monterrey,25274.74,22934.86,2026-01-01 19:50:00,15,renta,Renta,Vivienda,Renta,Renta,3961.0,-3961.0,EGRESO,APP_MOVIL,MXN,759
