id_usuario,nombre,apellido,fecha_nacimiento,genero,lugar_registro,ingreso_mensual,email
6b8bed3b-8ade-4c63-8d2e-e7000a12776a,Manuel,Flores Sanchez,1973-06-15,M,Monterrey,41019.0,manuel.flores_sanchez_cli-10025@mail.com
527a0918-4496-4516-b39d-11d903446e63,Javier,Rodriguez Gomez,1992-06-15,M,Queretaro,15206.22,javier.rodriguez_gomez_cli-10013@mail.com
39532a2c-b83c-4070-9099-dbc88ca6a604,Luis,Gomez Martinez,1970-06-15,M,Monterrey,20805.77,luis.gomez_martinez_cli-10000@mail.com
f2f86c00-832e-4557-9523-da789e585c8b,Alejandro,Martinez Ramirez,1993-06-15,M,Guadalajara,50378.28,alejandro.martinez_ramirez_cli-10098@mail.com
7021725a-c8ed-4780-966a-3a11efcc8361,Sofia,Flores Ramirez,1972-06-15,F,Merida,18022.3,sofia.flores_ramirez_cli-10061@mail.com
f9b50d15-2d3c-4004-89cb-facdd1d8027a,Luis,Gomez Sanchez,2000-06-15,M,Puebla,10672.71,luis.gomez_sanchez_cli-10062@mail.com
73e03f4b-4c57-45d9-8b1e-f1f58cc952bc,Camila,Rodriguez Sanchez,1983-06-15,F,Tijuana,25784.06,camila.rodriguez_sanchez_cli-10094@mail.com
27b0ea7e-3cf3-4edf-bcbb-050713ee1173,Carlos,Flores Gonzalez,1979-06-15,M,Puebla,9004.75,carlos.flores_gonzalez_cli-10097@mail.com
7a6c4b66-6900-4a17-a6de-e2b5aa031f3d,Gabriela,Hernandez Rodriguez,1990-06-15,F,Queretaro,20559.67,gabriela.hernandez_rodriguez_cli-10028@mail.com
ebe24edb-c42b-4a1c-b260-aaadf2808b3b,Fernanda,Gonzalez Gomez,1973-06-15,F,Guadalajara,19823.84,fernanda.gonzalez_gomez_cli-10035@mail.com
83c66718-4c67-4237-950a-ba0b351583d8,Daniela,Ramirez Sanchez,1957-06-15,F,Tijuana,19857.52,daniela.ramirez_sanchez_cli-10077@mail.com
25214ae1-d050-4e7e-a3b4-098fa0eaaa87,Carlos,Perez Gonzalez,1967-06-15,M,Cancun,42017.74,carlos.perez_gonzalez_cli-10010@mail.com
9da0e402-e7ca-47e7-8f6f-47dc1dfaf5a4,Lucia,Ramirez Flores,1984-06-15,F,CDMX,31975.94,lucia.ramirez_flores_cli-10068@mail.com
3ae702eb-b8ed-4db9-af10-b9b89dbd9364,Javier,Flores Ramirez,1987-06-15,M,CDMX,44341.05,javier.flores_ramirez_cli-10048@mail.com
a4989c7b-10ac-42f2-8d68-2e32740f8729,Camila,Rodriguez Hernandez,1991-06-15,F,Monterrey,25274.74,camila.rodriguez_hernandez_cli-10023@mail.com
0259a510-71b9-4166-831e-eaba1071fd36,Andrea,Ramirez Perez,1962-06-15,F,Puebla,23334.75,andrea.ramirez_perez_cli-10057@mail.com
067a4a53-0f76-4d18-ab66-6983f3481d34,Juan,Lopez Sanchez,1974-06-15,M,Cancun,16686.81,juan.lopez_sanchez_cli-10095@mail.com
