id_usuario,password_hash
6b8bed3b-8ade-4c63-8d2e-e7000a12776a,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
527a0918-4496-4516-b39d-11d903446e63,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
39532a2c-b83c-4070-9099-dbc88ca6a604,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
f2f86c00-832e-4557-9523-da789e585c8b,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
7021725a-c8ed-4780-966a-3a11efcc8361,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
f9b50d15-2d3c-4004-89cb-facdd1d8027a,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
73e03f4b-4c57-45d9-8b1e-f1f58cc952bc,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
27b0ea7e-3cf3-4edf-bcbb-050713ee1173,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
7a6c4b66-6900-4a17-a6de-e2b5aa031f3d,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
ebe24edb-c42b-4a1c-b260-aaadf2808b3b,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
83c66718-4c67-4237-950a-ba0b351583d8,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
25214ae1-d050-4e7e-a3b4-098fa0eaaa87,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
9da0e402-e7ca-47e7-8f6f-47dc1dfaf5a4,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
3ae702eb-b8ed-4db9-af10-b9b89dbd9364,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
a4989c7b-10ac-42f2-8d68-2e32740f8729,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
0259a510-71b9-4166-831e-eaba1071fd36,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
067a4a53-0f76-4d18-ab66-6983f3481d34,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
4ba0e6b1-2b10-45c4-8b69-3a0ba066107f,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
b283bb64-a506-4205-8088-1448bf005257,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
6e8b21b8-f424-4838-b0aa-1cafe3c4a995,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
10e8e662-c492-4cbf-94ca-f1371e5e0053,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
4f1052e4-e201-43a7-a317-69bcafb782f1,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
b5fa3273-0d6d-46c6-b0a1-0cb7cb5cf306,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
37e96540-3d41-47d0-9c94-c7cacb0afe43,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
2549475f-3fc2-4b66-a00c-e5f8b3574590,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
d86ec1b8-31d0-45b8-9f6d-4d7c6e75c269,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
dd7f5796-6b5e-4e01-a319-5b96ea1e9109,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
aec80a0c-129c-4d10-ae98-f40b51c11583,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
557596d4-53d6-46f0-ac1c-63b08ebca067,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
c6785101-01b1-4c57-9449-3b63b4620d38,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
7dd045a5-dea8-4fbe-a6b4-57bf3c8ebbbf,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
4ab8aec6-79c9-4ebf-b960-02331c41882f,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
400e6d26-27bc-41a0-a3c0-363ac80b6a7f,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
f745dc6f-a364-4d07-ae7d-38ead836a3f4,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
705a7949-d59c-49fb-a2cd-b736603c5e88,$2b$12$eImiTXuWVxfM37uY4JANjO5E.12345678901234567890123
