id_tarjeta,id_cuenta,numero_tarjeta,tipo_tarjeta,red_pago,fecha_vencimiento
e80f9cac-b03e-4fcb-a3f3-7f1c6286bc7b,acded851-afd6-41be-98e5-b208d7de0144,4152X-ACC-132097,DEBITO,VISA,2029-12-31
6d2288f2-a9dc-4bbd-b86b-33d48f2390dd,e7a3c7c1-abf0-4342-8f46-4ca8cb0ba4d2,4152X-ACC-613153,DEBITO,VISA,2029-12-31
c49c8bf6-2d71-40b9-8f87-363b870b0dfd,bf5e11ab-b3bd-45c6-bf7e-51f4266ba254,4152X-ACC-164820,DEBITO,VISA,2029-12-31
f30fbc40-9703-4c31-b9a5-ab557c4b82c8,717e0990-4bb9-4370-bb94-d871b1087095,4152X-ACC-841040,DEBITO,VISA,2029-12-31
d83b0edd-72db-47f8-a768-7d03bc7fa190,723aa80e-e08f-4d71-b5e1-12ab4ac40c8f,4152X-ACC-216421,DEBITO,VISA,2029-12-31
e9f3e63d-6775-4b45-9daf-9722ec25fbe3,86c80eb5-54bc-4cc7-840c-c29bd2a033f1,4152X-ACC-746465,DEBITO,VISA,2029-12-31
1d7d3151-e6c5-479c-aa65-df54b837c324,89dcd5d8-3abd-4e2f-bcf1-610a21d29d64,4152X-ACC-666074,DEBITO,VISA,2029-12-31
4bb45633-ce6a-4e78-8b36-ab2143b9312a,778d2a1a-1364-4bce-9158-faa11bab276e,4152X-ACC-664262,DEBITO,VISA,2029-12-31
2ca34b24-a26a-4698-a4c6-7593f66ced33,c8a3e8b0-4eb9-4dd3-9a93-1f0ac6928ea7,4152X-ACC-200235,DEBITO,VISA,2029-12-31
af1d8cae-6064-4332-977d-e896264e20c2,44c2ed8a-1ac8-4efe-b44e-5e581487bf9a,4152X-ACC-214352,DEBITO,VISA,2029-12-31
71c16233-5b03-45a3-b9d9-75dfce80f8cd,092be737-dd03-47ba-ad38-f2a3268b1547,4152X-ACC-258768,DEBITO,VISA,2029-12-31
6b2251e4-b804-4f13-898b-216c0c5ba9cc,ec1544af-dc24-48fa-b250-7060afefe557,4152X-ACC-642335,DEBITO,VISA,2029-12-31
282aba8c-1169-402d-adbd-8a41f6676432,bca84e41-ce58-4716-a01e-e00c8ef052f3,4152X-ACC-318134,DEBITO,VISA,2029-12-31
cc302a48-1c7f-4cd5-8095-557e5f3ee43f,faf3d855-6c6e-4881-982d-c592cdd37f02,4152X-ACC-374907,DEBITO,VISA,2029-12-31
b6ca9d87-476a-4c5d-83ca-7693a6527a9c,a801ae30-266c-45a6-b75b-bdcfcc7b3c5f,4152X-ACC-118070,DEBITO,VISA,2029-12-31
460819f1-3e7b-4a18-b9bb-4a991973ca55,e4515737-a3c1-434e-9e49-61063b96e22e,4152X-ACC-572930,DEBITO,VISA,2029-12-31
ef403853-e247-49d9-9751-bf46943b3d76,f38dfda7-95e5-42ca-ba51-bec4257f4d37,4152X-ACC-234055,DEBITO,VISA,2029-12-31
c9e1bb7a-b4b0-4880-88f1-2b90da359497,c9bec987-e335-4b63-a4dc-865adac62fad,4152X-ACC-369544,DEBITO,VISA,2029-12-31
8d64339b-b475-44e4-bf62-e45215d1ea8f,e457993a-6b66-40d4-891c-03de1d899814,4152X-ACC-237717,DEBITO,VISA,2029-12-31
698259d6-1dc2-4996-bae9-8219285ebc59,852e6e78-9182-49c9-a70c-313f9a04a2b2,4152X-ACC-292714,DEBITO,VISA,2029-12-31
edeb6414-0b55-4e0a-bed2-b73a88276387,a9da6bba-bd29-4614-b4b6-fcdbcb7d2d94,4152X-ACC-566960,DEBITO,VISA,2029-12-31
e4f9aabd-8595-4a2d-84b2-3d54a4541fdc,9d02000c-6a22-459f-bd88-db02784d1bc2,4152X-ACC-868734,DEBITO,VISA,2029-12-31
e77722c3-ca39-4480-832f-f90fbc2402a7,8fe590c2-0674-4dc4-8c5e-eacf17d145c0,4152X-ACC-585450,DEBITO,VISA,2029-12-31
